中国人|ちゅうごくじん 
金星|きんせい
含|ふく
4名|よんめい
担当|たんとう
野田|のだ
理恵|りえ
上海支社|シャンハイししゃ
2年目|にねんめ
主|おも
営業|えいきょう
王|おう
王風|おうふう
申|もう
王様|おうさま
風|ふう
中井|なかい
加|くわ
佐藤|さとう
出身|しゅっしん
浙江省|せっこうしょう
紹興|しょうこう
留学|りゅうがく
興味|きょうみ
10年前|じゅうねんまえ
初|はじ
海外旅行|かいがいりょこう
紹興酒|しょうこうしゅ
味|あじ
覚|おぼ
中国語|ちゅうごくご
名字|ミンツー
場合|ばあい
姓|せい
名|な
両方|りょうほう
指|さ
苗字|みょうじ
明治時代|めいじじだい
当時|とうじ
政府|せいふ
国民|こくみん
法律|ほうりつ
決|き
武士|ぶし
貴族|きぞく
突然|とつぜん
人々|ひとびと
慌|あわ
地名|ちめい
地形|ちけい
木|き
山|やま
川|かわ
自然|しぜん
関係|かんけい
漢字|かんじ
中谷|なかたに
杉|すぎ
大杉|おおすぎ
最|もっと
鈴木|すずき
普|むかし
30万近|さんじゅうまんちか
世界|せかい
第2位|だいにい
第1位|だいいちい
多民族国家|たみんぞくこっか
数|かず
万|まん
超|こ
一方|いっぽう
程度|ていど
人数|にんずう
約1億人|やくいちおくにん
以上|いじょう
故郷|こきょう
探|さが
取|と
一例|いちれい
世辞|せじ
抜|ぬ
不十分|ふじゅうぶん
提案|ていあん
竜虎酒造|りゅうこしゅぞう
販売|はんばい
若者|わかもの
大山|おおやま
確|かく
日本国内|にほんこくない
込|こむ
戦略|せんりゃく
大都市|だいとし
高級|こうきゅう
繁華街|はんかがい
集|あつまる
試飲|しのむ
流行|りゅうこう
敏感|びんかん
何種類|なんしゅるい
喜|よろこぶ
中国用|ちゅうごくよう
引|ひく
受|うける
準備|じゅんび
中心部|ちゅうしんぶ
景山公園|けいざんこうえん
市民|しみん
憩|いこい
休日|きゅうじつ
家族連|かぞくつれ
旅行者|りょこうしゃ
周囲|しゅうい
